FA7: TOM formula 7 known to treat Anxiety,,,,
Idx,compID,geneID,CompName,GeneSymbol
6534,3967,4915,Quercetin,A1BG
10437,62619,156,Methylenecyclohexane,A2M
20017,79938,156,Calcium(II) ion,A2M
3050,1531,5008,Zinc,AADAC
14296,84987,5008,DL-Histidine,AADAC
21362,79938,5008,Calcium(II) ion,AADAC
1084,1531,3630,Zinc,AADACL2
13897,84987,3630,DL-Histidine,AADACL2
19613,79938,3630,Calcium(II) ion,AADACL2
558,1531,39114,Zinc,AADACL4
13775,84987,39114,DL-Histidine,AADACL4
19092,79938,39114,Calcium(II) ion,AADACL4
6921,3967,177,Quercetin,AADAT
2695,1531,690,Zinc,AARS
3387,120,690,Vitamin C,AARS
13532,85497,690,DL-Serine,AARS
14236,84987,690,DL-Histidine,AARS
2968,1531,689,Zinc,AARS2
13553,85497,689,DL-Serine,AARS2
309,1531,434,Zinc,AASS
4728,3967,434,Quercetin,AASS
9250,86025,434,Oxygen,AASS
10503,80001,434,Manganese,AASS
16302,15910,434,Copper,AASS
18886,79938,434,Calcium(II) ion,AASS
11748,8153,178,L-(+)-Alanine,ABAT
12833,31781,178,g-Guanidinobutyrate,ABAT
14174,84987,178,DL-Histidine,ABAT
20797,79938,178,Calcium(II) ion,ABAT
601,1531,730,Zinc,ABCA1
3388,120,730,Vitamin C,ABCA1
4393,3032,730,Stearic acid,ABCA1
4921,3967,730,Quercetin,ABCA1
8647,3583,730,Palmitic acid,ABCA1
12480,36210,730,Honokiol,ABCA1
15839,9988,730,D-(&minus;)-Fructose,ABCA1
17697,79939,730,Chromium,ABCA1
18101,117,730,choline,ABCA1
22736,9026,730,Arachidonic acid,ABCA1
6348,3967,5488,Quercetin,ABCA12
16453,15910,5503,Copper,ABCA2
12946,36170,5490,Eugenol,ABCA6
6535,3967,5484,Quercetin,ABCA7
10759,80001,5497,Manganese,ABCA9
3389,120,727,Vitamin C,ABCB1
4088,157,727,Tocopherol,ABCB1
4501,34650,727,Sinensetin,ABCB1
6434,3967,727,Quercetin,ABCB1
8977,3583,727,Palmitic acid,ABCB1
9508,35586,727,Nobiletin,ABCB1
10094,34516,727,Neochanin,ABCB1
14412,40089,727,D-Glucopyranose,ABCB1
20844,79938,727,Calcium(II) ion,ABCB1
21785,3374,727,Butanoic acid,ABCB1
12406,1530,5481,Iron,ABCB10
9404,32326,743,Oleanolic acid,ABCB11
22737,9026,743,Arachidonic acid,ABCB11
22987,126,743,Alpha-Linolenic acid,ABCB11
6435,3967,3869,Quercetin,ABCB4
8978,3583,3869,Palmitic acid,ABCB4
18273,117,3869,choline,ABCB4
12353,1530,5487,Iron,ABCB6
6733,3967,5482,Quercetin,ABCB7
12357,1530,5482,Iron,ABCB7
14413,40089,5482,D-Glucopyranose,ABCB7
2308,1531,5505,Zinc,ABCB9
3390,120,1448,Vitamin C,ABCC1
4228,35710,1448,Tangeritin,ABCC1
4496,34650,1448,Sinensetin,ABCC1
4665,3967,1448,Quercetin,ABCC1
9517,35586,1448,Nobiletin,ABCC1
10095,34516,1448,Neochanin,ABCC1
10130,3283,1448,Naringenin,ABCC1
11757,34602,1448,iso-Licoflavonol,ABCC1
11792,1530,1448,Iron,ABCC1
12947,36170,1448,Eugenol,ABCC1
14414,40089,1448,D-Glucopyranose,ABCC1
18803,79938,1448,Calcium(II) ion,ABCC1
23125,35360,1448,7-Hydroxy-2-(4-hydroxyphenyl)-6-(3-methyl-2-buten-1-yl)-4H-chromen-4-one,ABCC1
1804,1531,5483,Zinc,ABCC12
3391,120,729,Vitamin C,ABCC2
5045,3967,729,Quercetin,ABCC2
10096,34516,729,Neochanin,ABCC2
14415,40089,729,D-Glucopyranose,ABCC2
4884,3967,5332,Quercetin,ABCC4
10131,3283,5332,Naringenin,ABCC4
1402,1531,5337,Zinc,ABCC5
5565,3967,5337,Quercetin,ABCC5
10132,3283,5337,Naringenin,ABCC5
7040,3967,5334,Quercetin,ABCC6
9518,86074,5334,Nickel,ABCC6
21565,79938,5334,Calcium(II) ion,ABCC6
7271,79942,746,potassium cation,ABCC8
18905,79938,746,Calcium(II) ion,ABCC8
7740,79942,737,potassium cation,ABCC9
9102,3583,5480,Palmitic acid,ABCD1
11405,38621,5480,Lignoceric acid,ABCD1
18550,4236,5480,Caprylic acid,ABCD1
22277,3374,5480,Butanoic acid,ABCD1
23571,71724,5480,(13E)-13-Docosenoic acid,ABCD1
11384,38621,5491,Lignoceric acid,ABCD2
18502,4236,5491,Caprylic acid,ABCD2
22098,3374,5491,Butanoic acid,ABCD2
5054,3967,5485,Quercetin,ABCD3
11366,38621,5485,Lignoceric acid,ABCD3
18472,4236,5485,Caprylic acid,ABCD3
22738,9026,5485,Arachidonic acid,ABCD3
11414,38621,5501,Lignoceric acid,ABCD4
18485,4236,5501,Caprylic acid,ABCD4
12351,1530,5492,Iron,ABCE1
3160,1531,5479,Zinc,ABCF2
14416,40089,5479,D-Glucopyranose,ABCF2
906,1531,728,Zinc,ABCG1
4355,3032,728,Stearic acid,ABCG1
8508,3583,728,Palmitic acid,ABCG1
9519,86074,728,Nickel,ABCG1
18135,117,728,choline,ABCG1
22739,9026,728,Arachidonic acid,ABCG1
23184,3993,728,4-Hydroxybenzoic acid,ABCG1
4502,34650,3338,Sinensetin,ABCG2
6855,3967,3338,Quercetin,ABCG2
9405,32326,3338,Oleanolic acid,ABCG2
9512,35586,3338,Nobiletin,ABCG2
11429,34518,3338,Licochalcone A,ABCG2
11766,34602,3338,iso-Licoflavonol,ABCG2
12356,1530,3338,Iron,ABCG2
12755,57804,3338,Glycyrrh-iso-flavone,ABCG2
17915,79939,3338,Chromium,ABCG2
23128,35360,3338,7-Hydroxy-2-(4-hydroxyphenyl)-6-(3-methyl-2-buten-1-yl)-4H-chromen-4-one,ABCG2
23230,3993,3338,4-Hydroxybenzoic acid,ABCG2
14417,40089,5493,D-Glucopyranose,ABCG4
2733,1531,4893,Zinc,ABCG5
6633,3967,4893,Quercetin,ABCG5
23222,3993,4893,4-Hydroxybenzoic acid,ABCG5
6354,3967,5486,Quercetin,ABCG8
23217,3993,5486,4-Hydroxybenzoic acid,ABCG8
23672,63707,5174,(.+/-.)-trans-Nerolidol,ABHD1
18729,79938,5005,Calcium(II) ion,ABHD5
10209,6911,751,Myristic acid,ABL1
17998,79939,751,Chromium,ABL1
22633,36250,751,Benzaldehyde,ABL1
5127,3967,726,Quercetin,ABL2
9145,86025,726,Oxygen,ABL2
17984,79939,726,Chromium,ABL2
22652,36250,726,Benzaldehyde,ABL2
18498,4236,5099,Caprylic acid,ACAA1
19882,79938,5099,Calcium(II) ion,ACAA1
6234,3967,5097,Quercetin,ACAA2
20636,79938,5097,Calcium(II) ion,ACAA2
8509,3583,270,Palmitic acid,ACACA
12425,36210,270,Honokiol,ACACA
14422,40089,270,D-Glucopyranose,ACACA
15840,9988,270,D-(&minus;)-Fructose,ACACA
18418,4179,270,Carboxy-N,ACACA
22988,126,270,Alpha-Linolenic acid,ACACA
497,1531,267,Zinc,ACACB
4447,3032,267,Stearic acid,ACACB
