FD1: TOM formula 1 known to treat Diabetes mellitus,,,,
Idx,compID,geneID,CompName,GeneSymbol
3050,1531,5008,Zinc,AADAC
4584,9759,5008,Pyroglutamic acid,AADAC
6601,10237,5008,Phenol,AADAC
13444,31797,5008,DL-Methionine,AADAC
14838,84987,5008,DL-Histidine,AADAC
16080,27647,5008,DL-Glutamic acid,AADAC
21574,79938,5008,Calcium(II) ion,AADAC
1084,1531,3630,Zinc,AADACL2
4522,9759,3630,Pyroglutamic acid,AADACL2
6269,10237,3630,Phenol,AADACL2
12964,31797,3630,DL-Methionine,AADACL2
14439,84987,3630,DL-Histidine,AADACL2
15998,27647,3630,DL-Glutamic acid,AADACL2
19825,79938,3630,Calcium(II) ion,AADACL2
558,1531,39114,Zinc,AADACL4
4506,9759,39114,Pyroglutamic acid,AADACL4
6168,10237,39114,Phenol,AADACL4
12824,31797,39114,DL-Methionine,AADACL4
14317,84987,39114,DL-Histidine,AADACL4
15968,27647,39114,DL-Glutamic acid,AADACL4
19304,79938,39114,Calcium(II) ion,AADACL4
2695,1531,690,Zinc,AARS
3437,120,690,Vitamin C,AARS
12241,85497,690,DL-Serine,AARS
13350,31797,690,DL-Methionine,AARS
14109,9038,690,DL-Isoleucine,AARS
14778,84987,690,DL-Histidine,AARS
309,1531,434,Zinc,AASS
7722,86025,434,Oxygen,AASS
8820,80001,434,Manganese,AASS
15015,27647,434,DL-Glutamic acid,AASS
17728,15910,434,Copper,AASS
19098,79938,434,Calcium(II) ion,AASS
4047,36879,178,Vanillin,ABAT
10009,8153,178,L-(+)-Alanine,ABAT
14716,84987,178,DL-Histidine,ABAT
15494,27647,178,DL-Glutamic acid,ABAT
21009,79938,178,Calcium(II) ion,ABAT
23141,8862,178,Allantoin,ABAT
601,1531,730,Zinc,ABCA1
3438,120,730,Vitamin C,ABCA1
4371,3032,730,Stearic acid,ABCA1
6989,3583,730,Palmitic acid,ABCA1
17529,9988,730,D-(&minus;)-Fructose,ABCA1
18346,79939,730,Chromium,ABCA1
22832,9026,730,Arachidonic acid,ABCA1
17879,15910,5503,Copper,ABCA2
11166,36170,5490,Eugenol,ABCA6
9076,80001,5497,Manganese,ABCA9
3439,120,727,Vitamin C,ABCB1
4143,157,727,Tocopherol,ABCB1
7319,3583,727,Palmitic acid,ABCB1
11057,57137,727,Gallic acid,ABCB1
15503,27647,727,DL-Glutamic acid,ABCB1
16134,40089,727,D-Glucopyranose,ABCB1
17492,732,727,D-(-)-Mannitol,ABCB1
21056,79938,727,Calcium(II) ion,ABCB1
21951,3374,727,Butanoic acid,ABCB1
10731,1530,5481,Iron,ABCB10
22833,9026,743,Arachidonic acid,ABCB11
23083,126,743,Alpha-Linolenic acid,ABCB11
10678,1530,5487,Iron,ABCB6
13681,31797,5487,DL-Methionine,ABCB6
10682,1530,5482,Iron,ABCB7
16135,40089,5482,D-Glucopyranose,ABCB7
2308,1531,5505,Zinc,ABCB9
3440,120,1448,Vitamin C,ABCC1
10117,1530,1448,Iron,ABCC1
11167,36170,1448,Eugenol,ABCC1
16136,40089,1448,D-Glucopyranose,ABCC1
19015,79938,1448,Calcium(II) ion,ABCC1
22687,35029,1448,Baicalein,ABCC1
1804,1531,5483,Zinc,ABCC12
3441,120,729,Vitamin C,ABCC2
16092,33231,729,Diosgenin,ABCC2
16137,40089,729,D-Glucopyranose,ABCC2
22659,38528,729,Baicalin,ABCC2
22779,35029,729,Baicalein,ABCC2
16093,33231,5296,Diosgenin,ABCC3
4777,79942,746,potassium cation,ABCC8
15019,27647,746,DL-Glutamic acid,ABCC8
19117,79938,746,Calcium(II) ion,ABCC8
5246,79942,737,potassium cation,ABCC9
7444,3583,5480,Palmitic acid,ABCD1
9685,38621,5480,Lignoceric acid,ABCD1
18802,4236,5480,Caprylic acid,ABCD1
22443,3374,5480,Butanoic acid,ABCD1
23841,71724,5480,(13E)-13-Docosenoic acid,ABCD1
9664,38621,5491,Lignoceric acid,ABCD2
18754,4236,5491,Caprylic acid,ABCD2
22264,3374,5491,Butanoic acid,ABCD2
9646,38621,5485,Lignoceric acid,ABCD3
18724,4236,5485,Caprylic acid,ABCD3
