FD9: TOM formula 9 known to treat Diabetes mellitus,,,,
Idx,compID,geneID,CompName_afterADMET,GeneSymbol
2272,3967,4915,Quercetin,A1BG
2930,9759,5008,Pyroglutamic acid,AADAC
3662,10237,5008,Phenol,AADAC
6429,27647,5008,DL-Glutamic acid,AADAC
2868,9759,3630,Pyroglutamic acid,AADACL2
3330,10237,3630,Phenol,AADACL2
6347,27647,3630,DL-Glutamic acid,AADACL2
2852,9759,39114,Pyroglutamic acid,AADACL4
3229,10237,39114,Phenol,AADACL4
6317,27647,39114,DL-Glutamic acid,AADACL4
2659,3967,177,Quercetin,AADAT
2967,2102,177,Phenylethyl alcohol,AADAT
6259,27647,177,DL-Glutamic acid,AADAT
6574,5525,177,Benzyl alcohol,AADAT
6248,27647,1694,DL-Glutamic acid,AANAT
5199,9038,690,DL-Isoleucine,AARS
466,3967,434,Quercetin,AASS
5364,27647,434,DL-Glutamic acid,AASS
137,3032,730,Stearic acid,ABCA1
659,3967,730,Quercetin,ABCA1
2086,3967,5488,Quercetin,ABCA12
4220,36170,5490,Eugenol,ABCA6
2273,3967,5484,Quercetin,ABCA7
2172,3967,727,Quercetin,ABCB1
4111,57137,727,Gallic acid,ABCB1
5852,27647,727,DL-Glutamic acid,ABCB1
6443,732,727,D-(-)-Mannitol,ABCB1
3866,32326,743,Oleanolic acid,ABCB11
2471,3967,5482,Quercetin,ABCB7
403,3967,1448,Quercetin,ABCC1
3946,34790,1448,Nepetin,ABCC1
4221,36170,1448,Eugenol,ABCC1
783,3967,729,Quercetin,ABCC2
622,3967,5332,Quercetin,ABCC4
5368,27647,746,DL-Glutamic acid,ABCC8
792,3967,5485,Quercetin,ABCD3
7071,10739,5501,(.+/-.)-Tartaric acid,ABCD4
99,3032,728,Stearic acid,ABCG1
50,34814,3338,TCMDC-124149,ABCG2
2593,3967,3338,Quercetin,ABCG2
3867,32326,3338,Oleanolic acid,ABCG2
3952,34790,3338,Nepetin,ABCG2
88,33749,4893,Stigmasterol,ABCG5
2371,3967,4893,Quercetin,ABCG5
89,33749,5486,Stigmasterol,ABCG8
2092,3967,5486,Quercetin,ABCG8
3250,10237,751,Phenol,ABL1
3959,35694,751,Myristicin,ABL1
4112,57137,751,Gallic acid,ABL1
5077,9038,5099,DL-Isoleucine,ACAA1
1972,3967,5097,Quercetin,ACAA2
5156,9038,5097,DL-Isoleucine,ACAA2
1,32487,270,ursolic acid,ACACA
191,3032,267,Stearic acid,ACACB
3765,4006,267,Palmitelaidic acid,ACACB
4055,32651,267,Geraniol,ACACB
4996,9038,267,DL-Isoleucine,ACACB
5399,27647,267,DL-Glutamic acid,ACACB
7020,10739,267,(.+/-.)-Tartaric acid,ACACB
835,3967,717,Quercetin,ACADSB
5024,9038,717,DL-Isoleucine,ACADSB
4113,57137,5420,Gallic acid,ACAN
90,33749,1296,Stigmasterol,ACAT1
5178,9038,1296,DL-Isoleucine,ACAT1
6102,27647,39139,DL-Glutamic acid,ACCSL
3512,10237,778,Phenol,ACE
5783,27647,778,DL-Glutamic acid,ACE
1726,3967,272,Quercetin,ACHE
3474,10237,272,Phenol,ACHE
4022,34267,272,Loganin,ACHE
5723,27647,272,DL-Glutamic acid,ACHE
6484,35662,272,Catalpol,ACHE
6624,1622,272,4-Methylphenol,ACHE
6641,1707,272,3-Methylphenol,ACHE
5921,27647,4563,DL-Glutamic acid,ACLY
7215,10739,4563,(.+/-.)-Tartaric acid,ACLY
2885,9759,5805,Pyroglutamic acid,ACO1
5698,27647,5805,DL-Glutamic acid,ACO1
2935,9759,1632,Pyroglutamic acid,ACO2
6020,27647,1632,DL-Glutamic acid,ACO2
2634,3967,3784,Quercetin,ACOT13
3019,35692,3784,Phenylacetic acid,ACOT13
42,32487,765,ursolic acid,ACP1
3941,32326,765,Oleanolic acid,ACP1
1431,3967,2737,Quercetin,ACPP
2877,9759,2737,Pyroglutamic acid,ACPP
2998,35692,2737,Phenylacetic acid,ACPP
3407,10237,2737,Phenol,ACPP
4548,31765,2737,DL-Valine,ACPP
5648,27647,2737,DL-Glutamic acid,ACPP
6895,10739,2737,(.+/-.)-Tartaric acid,ACPP
716,3967,1144,Quercetin,ADA
3248,10237,1144,Phenol,ADA
5434,27647,1144,DL-Glutamic acid,ADA
2914,9759,3358,Pyroglutamic acid,ADAM10
5927,27647,5669,DL-Glutamic acid,ADAMTS2
6125,27647,5586,DL-Glutamic acid,ADAR
3363,10237,2333,Phenol,ADCY2
5576,27647,2333,DL-Glutamic acid,ADCY2
5797,27647,4804,DL-Glutamic acid,ADCY8
2968,2102,550,Phenylethyl alcohol,ADH1A
4081,32651,550,Geraniol,ADH1A
5252,9038,550,DL-Isoleucine,ADH1A
2961,2102,554,Phenylethyl alcohol,ADH1B
4079,32651,554,Geraniol,ADH1B
5117,9038,554,DL-Isoleucine,ADH1B
2973,2102,552,Phenylethyl alcohol,ADH4
4074,32651,552,Geraniol,ADH4
5180,9038,552,DL-Isoleucine,ADH4
2965,2102,558,Phenylethyl alcohol,ADH5
4068,32651,558,Geraniol,ADH5
5138,9038,558,DL-Isoleucine,ADH5
2972,2102,555,Phenylethyl alcohol,ADH7
4080,32651,555,Geraniol,ADH7
5253,9038,555,DL-Isoleucine,ADH7
100,3032,4451,Stearic acid,ADIPOQ
2043,3967,4471,Quercetin,ADM
1634,3967,839,Quercetin,ADORA1
5702,27647,839,DL-Glutamic acid,ADORA1
6583,630,839,Adenosine,ADORA1
157,3032,840,Stearic acid,ADORA2A
1271,3967,840,Quercetin,ADORA2A
3380,10237,840,Phenol,ADORA2A
5604,27647,840,DL-Glutamic acid,ADORA2A
6580,630,840,Adenosine,ADORA2A
1703,3967,967,Quercetin,ADORA2B
6581,630,967,Adenosine,ADORA2B
811,3967,3863,Quercetin,ADORA3
6120,27647,3863,DL-Glutamic acid,ADORA3
6582,630,1210,Adenosine,ADORA3
6584,630,3863,Adenosine,ADORA3
2841,9759,787,Pyroglutamic acid,ADRA1A
2836,9759,865,Pyroglutamic acid,ADRA1D
2837,9759,877,Pyroglutamic acid,ADRA2A
5283,9038,5107,DL-Isoleucine,ADSL
3021,35692,4381,Phenylacetic acid,AFP
3036,10237,4381,Phenol,AFP
6442,732,4753,D-(-)-Mannitol,AFUA_2G10660
6441,732,4752,D-(-)-Mannitol,AFUA_4G14450
3869,32326,4424,Oleanolic acid,AGER
4114,57137,4424,Gallic acid,AGER
1890,3967,4873,Quercetin,AGL
6686,38310,5513,2-Ethylhexanol,AGO1
2719,3967,5514,Quercetin,AGO2
3706,10237,5514,Phenol,AGO2
6682,38310,5514,2-Ethylhexanol,AGO2
5782,27647,4145,DL-Glutamic acid,AGRP
6334,27647,3411,DL-Glutamic acid,AGT
2081,3967,777,Quercetin,AGTR1
5728,27647,195,DL-Glutamic acid,AGXT
2571,3967,1048,Quercetin,AHR
3648,10237,1048,Phenol,AHR
4222,36170,1048,Eugenol,AHR
2,32487,2563,ursolic acid,AIFM1
1951,3967,2563,Quercetin,AIFM1
5795,27647,2563,DL-Glutamic acid,AIFM1
1568,3967,2217,Quercetin,AKR1A1
3957,34790,2217,Nepetin,AKR1A1
1965,3967,559,Quercetin,AKR1B1
3011,35692,559,Phenylacetic acid,AKR1B1
3955,34790,559,Nepetin,AKR1B1
4224,36170,559,Eugenol,AKR1B1
6541,5525,559,Benzyl alcohol,AKR1B1
975,3967,2218,Quercetin,AKR1B10
3958,34790,2218,Nepetin,AKR1B10
4021,32790,2218,Menthene,AKR1B10
4225,36170,2218,Eugenol,AKR1B10
526,3967,592,Quercetin,AKR1C1
4226,36170,592,Eugenol,AKR1C1
529,3967,600,Quercetin,AKR1C2
537,3967,589,Quercetin,AKR1C3
4227,36170,589,Eugenol,AKR1C3
2270,3967,587,Quercetin,AKR1C4
2569,3967,1139,Quercetin,AKR1D1
7224,10739,5049,(.+/-.)-Tartaric acid,AKR7A2
