FE1: TOM formula 1 known to treat Epilepsy,,,,
Idx,compID,geneID,CompName_afterADMET,GeneSymbol
7036,3967,4915,Quercetin,A1BG
20333,819,156,Diazepam,A2M
26165,79938,156,Calcium(II) ion,A2M
3050,1531,5008,Zinc,AADAC
7700,9759,5008,Pyroglutamic acid,AADAC
19039,84987,5008,DL-Histidine,AADAC
20281,27647,5008,DL-Glutamic acid,AADAC
27510,79938,5008,Calcium(II) ion,AADAC
1084,1531,3630,Zinc,AADACL2
7638,9759,3630,Pyroglutamic acid,AADACL2
18640,84987,3630,DL-Histidine,AADACL2
20199,27647,3630,DL-Glutamic acid,AADACL2
25761,79938,3630,Calcium(II) ion,AADACL2
558,1531,39114,Zinc,AADACL4
7622,9759,39114,Pyroglutamic acid,AADACL4
18518,84987,39114,DL-Histidine,AADACL4
20169,27647,39114,DL-Glutamic acid,AADACL4
25240,79938,39114,Calcium(II) ion,AADACL4
7423,3967,177,Quercetin,AADAT
9052,2102,177,Phenylethyl alcohol,AADAT
20111,27647,177,DL-Glutamic acid,AADAT
22304,31928,177,cystathionine,AADAT
28724,5525,177,Benzyl alcohol,AADAT
20100,27647,1694,DL-Glutamic acid,AANAT
2695,1531,690,Zinc,AARS
3390,120,690,Vitamin C,AARS
17070,85497,690,DL-Serine,AARS
18310,9038,690,DL-Isoleucine,AARS
18979,84987,690,DL-Histidine,AARS
2968,1531,689,Zinc,AARS2
17091,85497,689,DL-Serine,AARS2
309,1531,434,Zinc,AASS
4858,121,434,Spermine,AASS
5230,3967,434,Quercetin,AASS
10245,86025,434,Oxygen,AASS
12421,80001,434,Manganese,AASS
19216,27647,434,DL-Glutamic acid,AASS
22578,15910,434,Copper,AASS
25034,79938,434,Calcium(II) ion,AASS
13751,8153,178,L-(+)-Alanine,ABAT
15046,31781,178,g-Guanidinobutyrate,ABAT
18917,84987,178,DL-Histidine,ABAT
19695,27647,178,DL-Glutamic acid,ABAT
20415,819,178,Diazepam,ABAT
26945,79938,178,Calcium(II) ion,ABAT
29210,8862,178,Allantoin,ABAT
30285,31631,178,1-(4-Aminobutyl)urea,ABAT
601,1531,730,Zinc,ABCA1
3391,120,730,Vitamin C,ABCA1
4731,3032,730,Stearic acid,ABCA1
5423,3967,730,Quercetin,ABCA1
9506,3583,730,Palmitic acid,ABCA1
21970,9988,730,D-(&minus;)-Fructose,ABCA1
23915,79939,730,Chromium,ABCA1
24319,117,730,choline,ABCA1
28899,9026,730,Arachidonic acid,ABCA1
29266,10009,730,Adenosine cyclic 3',ABCA1
6850,3967,5488,Quercetin,ABCA12
22729,15910,5503,Copper,ABCA2
15391,36170,5490,Eugenol,ABCA6
7037,3967,5484,Quercetin,ABCA7
12677,80001,5497,Manganese,ABCA9
3392,120,727,Vitamin C,ABCB1
4380,157,727,Tocopherol,ABCB1
6936,3967,727,Quercetin,ABCB1
9836,3583,727,Palmitic acid,ABCB1
11943,34516,727,Neochanin,ABCB1
15167,57137,727,Gallic acid,ABCB1
19704,27647,727,DL-Glutamic acid,ABCB1
20414,819,727,Diazepam,ABCB1
20465,40089,727,D-Glucopyranose,ABCB1
21933,732,727,D-(-)-Mannitol,ABCB1
22370,7874,727,Cortisol,ABCB1
26992,79938,727,Calcium(II) ion,ABCB1
27929,3374,727,Butanoic acid,ABCB1
29523,67789,727,9-Chloro-2,ABCB1
30074,37709,727,1-Octanol,ABCB1
14599,1530,5481,Iron,ABCB10
10288,32326,743,Oleanolic acid,ABCB11
28900,9026,743,Arachidonic acid,ABCB11
29150,126,743,Alpha-Linolenic acid,ABCB11
29522,67789,743,9-Chloro-2,ABCB11
6937,3967,3869,Quercetin,ABCB4
9837,3583,3869,Palmitic acid,ABCB4
24491,117,3869,choline,ABCB4
29521,67789,3869,9-Chloro-2,ABCB4
29530,67789,3337,9-Chloro-2,ABCB5
14546,1530,5487,Iron,ABCB6
7235,3967,5482,Quercetin,ABCB7
14550,1530,5482,Iron,ABCB7
20466,40089,5482,D-Glucopyranose,ABCB7
2308,1531,5505,Zinc,ABCB9
3393,120,1448,Vitamin C,ABCC1
5167,3967,1448,Quercetin,ABCC1
11944,34516,1448,Neochanin,ABCC1
13985,1530,1448,Iron,ABCC1
15392,36170,1448,Eugenol,ABCC1
20467,40089,1448,D-Glucopyranose,ABCC1
24951,79938,1448,Calcium(II) ion,ABCC1
1804,1531,5483,Zinc,ABCC12
3394,120,729,Vitamin C,ABCC2
5547,3967,729,Quercetin,ABCC2
11945,34516,729,Neochanin,ABCC2
20468,40089,729,D-Glucopyranose,ABCC2
22371,7874,5296,Cortisol,ABCC3
5386,3967,5332,Quercetin,ABCC4
29267,10009,5332,Adenosine cyclic 3',ABCC4
1402,1531,5337,Zinc,ABCC5
6067,3967,5337,Quercetin,ABCC5
7542,3967,5334,Quercetin,ABCC6
11367,86074,5334,Nickel,ABCC6
27713,79938,5334,Calcium(II) ion,ABCC6
7894,79942,746,potassium cation,ABCC8
10428,2969,746,O-Acetylcholine,ABCC8
11273,31550,746,Nordazepam,ABCC8
19220,27647,746,DL-Glutamic acid,ABCC8
25053,79938,746,Calcium(II) ion,ABCC8
29863,38848,746,3-Octanone,ABCC8
8363,79942,737,potassium cation,ABCC9
9961,3583,5480,Palmitic acid,ABCD1
13427,38621,5480,Lignoceric acid,ABCD1
24739,4236,5480,Caprylic acid,ABCD1
28421,3374,5480,Butanoic acid,ABCD1
30342,71724,5480,(13E)-13-Docosenoic acid,ABCD1
13406,38621,5491,Lignoceric acid,ABCD2
24691,4236,5491,Caprylic acid,ABCD2
28242,3374,5491,Butanoic acid,ABCD2
5556,3967,5485,Quercetin,ABCD3
13388,38621,5485,Lignoceric acid,ABCD3
24661,4236,5485,Caprylic acid,ABCD3
28901,9026,5485,Arachidonic acid,ABCD3
13436,38621,5501,Lignoceric acid,ABCD4
24674,4236,5501,Caprylic acid,ABCD4
30621,10739,5501,(.+/-.)-Tartaric acid,ABCD4
14544,1530,5492,Iron,ABCE1
3160,1531,5479,Zinc,ABCF2
20469,40089,5479,D-Glucopyranose,ABCF2
906,1531,728,Zinc,ABCG1
4693,3032,728,Stearic acid,ABCG1
9367,3583,728,Palmitic acid,ABCG1
11368,86074,728,Nickel,ABCG1
24353,117,728,choline,ABCG1
28902,9026,728,Arachidonic acid,ABCG1
29235,8862,728,Allantoin,ABCG1
29517,67789,728,9-Chloro-2,ABCG1
4563,34814,3338,TCMDC-124149,ABCG2
7357,3967,3338,Quercetin,ABCG2
10289,32326,3338,Oleanolic acid,ABCG2
13849,35064,3338,Isoxanthohumol,ABCG2
14549,1530,3338,Iron,ABCG2
24133,79939,3338,Chromium,ABCG2
29240,8862,3338,Allantoin,ABCG2
29526,67789,3338,9-Chloro-2,ABCG2
20470,40089,5493,D-Glucopyranose,ABCG4
2733,1531,4893,Zinc,ABCG5
4682,33749,4893,Stigmasterol,ABCG5
7135,3967,4893,Quercetin,ABCG5
29241,8862,4893,Allantoin,ABCG5
4683,33749,5486,Stigmasterol,ABCG8
6856,3967,5486,Quercetin,ABCG8
29246,8862,5486,Allantoin,ABCG8
29518,67789,5486,9-Chloro-2,ABCG8
24877,79938,5005,Calcium(II) ion,ABHD5
11969,35694,751,Myristicin,ABL1
12035,6911,751,Myristic acid,ABL1
15168,57137,751,Gallic acid,ABL1
15843,36172,751,ethanal,ABL1
24216,79939,751,Chromium,ABL1
28768,36250,751,Benzaldehyde,ABL1
5629,3967,726,Quercetin,ABL2
10140,86025,726,Oxygen,ABL2
10818,2969,726,O-Acetylcholine,ABL2
24202,79939,726,Chromium,ABL2
28787,36250,726,Benzaldehyde,ABL2
15713,31411,5099,Ethylamine,ACAA1
18188,9038,5099,DL-Isoleucine,ACAA1
24687,4236,5099,Caprylic acid,ACAA1
26030,79938,5099,Calcium(II) ion,ACAA1
6736,3967,5097,Quercetin,ACAA2
18267,9038,5097,DL-Isoleucine,ACAA2
26784,79938,5097,Calcium(II) ion,ACAA2
4112,32487,270,ursolic acid,ACACA
9368,3583,270,Palmitic acid,ACACA
20475,40089,270,D-Glucopyranose,ACACA
21971,9988,270,D-(&minus;)-Fructose,ACACA
29151,126,270,Alpha-Linolenic acid,ACACA
497,1531,267,Zinc,ACACB
4090,2301,267,Valeric acid,ACACB
4785,3032,267,Stearic acid,ACACB
9497,3583,267,Palmitic acid,ACACB
10003,4006,267,Palmitelaidic acid,ACACB
10209,86025,267,Oxygen,ACACB
13861,9902,267,isocitric acid,ACACB
14847,86925,267,hexahydro-2-oxo-1h-thieno(3,ACACB
15055,32651,267,Geraniol,ACACB
15281,9240,267,FLAVANONE,ACACB
18107,9038,267,DL-Isoleucine,ACACB
19251,27647,267,DL-Glutamic acid,ACACB
21972,9988,267,D-(&minus;)-Fructose,ACACB
24309,117,267,choline,ACACB
24669,4236,267,Caprylic acid,ACACB
25201,79938,267,Calcium(II) ion,ACACB
28483,32446,267,beta-Ionone,ACACB
29193,8862,267,Allantoin,ACACB
29582,71040,267,4-O-Methylhexopyranosyl-(1->4)-[4-O-methylhexopyranosyl-(1->6)]hexopyranosyl-(1->2)-1,ACACB
30123,44788,267,1-Hexanoic acid,ACACB
30339,71724,267,(13E)-13-Docosenoic acid,ACACB
30570,10739,267,(.+/-.)-Tartaric acid,ACACB
26821,79938,1577,Calcium(II) ion,ACAD8
9451,3583,2480,Palmitic acid,ACADM
24644,4236,2480,Caprylic acid,ACADM
24788,79938,2480,Calcium(II) ion,ACADM
2983,1531,620,Zinc,ACADS
4066,2301,620,Valeric acid,ACADS
4818,3032,620,Stearic acid,ACADS
9922,3583,620,Palmitic acid,ACADS
10221,86025,620,Oxygen,ACADS
24724,4236,620,Caprylic acid,ACADS
27440,79938,620,Calcium(II) ion,ACADS
28394,3374,620,Butanoic acid,ACADS
807,1531,717,Zinc,ACADSB
5599,3967,717,Quercetin,ACADSB
18135,9038,717,DL-Isoleucine,ACADSB
25473,79938,717,Calcium(II) ion,ACADSB
15169,57137,5420,Gallic acid,ACAN
4381,157,1296,Tocopherol,ACAT1
4684,33749,1296,Stigmasterol,ACAT1
8313,79942,1296,potassium cation,ACAT1
10235,86025,1296,Oxygen,ACAT1
18289,9038,1296,DL-Isoleucine,ACAT1
21905,2687,1296,Decane,ACAT1
26988,79938,1296,Calcium(II) ion,ACAT1
29245,8862,1296,Allantoin,ACAT1
10226,86025,1814,Oxygen,ACAT2
21876,2687,1814,Decane,ACAT2
25548,79938,1814,Calcium(II) ion,ACAT2
29234,8862,1814,Allantoin,ACAT2
14610,1530,2628,Iron,ACCS
16816,20814,2628,DL-Tryptophan,ACCS
20079,27647,2628,DL-Glutamic acid,ACCS
27094,79938,2628,Calcium(II) ion,ACCS
14593,1530,39139,Iron,ACCSL
16706,20814,39139,DL-Tryptophan,ACCSL
19954,27647,39139,DL-Glutamic acid,ACCSL
25173,79938,39139,Calcium(II) ion,ACCSL
2190,1531,778,Zinc,ACE
8251,79942,778,potassium cation,ACE
11108,2969,778,O-Acetylcholine,ACE
17575,36375,778,DL-Lactic Acid,ACE
19635,27647,778,DL-Glutamic acid,ACE
20406,819,778,Diazepam,ACE
20477,40089,778,D-Glucopyranose,ACE
21974,9988,778,D-(&minus;)-Fructose,ACE
22902,15910,778,Copper,ACE
23649,4020,778,Citric acid,ACE
26721,79938,778,Calcium(II) ion,ACE
2878,1531,1230,Zinc,ACE2
3395,120,1230,Vitamin C,ACE2
23785,4020,1230,Citric acid,ACE2
1947,1531,272,Zinc,ACHE
3396,120,272,Vitamin C,ACHE
4382,157,272,Tocopherol,ACHE
6490,3967,272,Quercetin,ACHE
8204,79942,272,potassium cation,ACHE
8966,31187,272,Piperidine,ACHE
10427,2969,272,O-Acetylcholine,ACHE
11369,86074,272,Nickel,ACHE
12288,36025,272,m-Xylene,ACHE
13201,31356,272,Lycopene,ACHE
13358,34267,272,Loganin,ACHE
16059,36172,272,ethanal,ACHE
17534,36375,272,DL-Lactic Acid,ACHE
19575,27647,272,DL-Glutamic acid,ACHE
20400,819,272,Diazepam,ACHE
20478,40089,272,D-Glucopyranose,ACHE
21821,8024,272,D-Galactopyranose,ACHE
22858,15910,272,Copper,ACHE
24255,117,272,choline,ACHE
24576,35662,272,Catalpol,ACHE
26492,79938,272,Calcium(II) ion,ACHE
28272,3374,272,Butanoic acid,ACHE
28638,3876,272,Berberine,ACHE
2848,1531,4563,Zinc,ACLY
8885,79942,4563,potassium cation,ACLY
9902,3583,4563,Palmitic acid,ACLY
11194,2969,4563,O-Acetylcholine,ACLY
13920,9902,4563,isocitric acid,ACLY
17201,85497,4563,DL-Serine,ACLY
17678,36375,4563,DL-Lactic Acid,ACLY
19773,27647,4563,DL-Glutamic acid,ACLY
20479,40089,4563,D-Glucopyranose,ACLY
21975,9988,4563,D-(&minus;)-Fructose,ACLY
23779,4020,4563,Citric acid,ACLY
29152,126,4563,Alpha-Linolenic acid,ACLY
30765,10739,4563,(.+/-.)-Tartaric acid,ACLY
1100,1531,5354,Zinc,ACMSD
12643,80001,5354,Manganese,ACMSD
14127,1530,5354,Iron,ACMSD
23962,79939,5354,Chromium,ACMSD
25774,79938,5354,Calcium(II) ion,ACMSD
1838,1531,5805,Zinc,ACO1
7655,9759,5805,Pyroglutamic acid,ACO1
7785,158,5805,PYRIDOXINE,ACO1
11370,86074,5805,Nickel,ACO1
12814,80001,5805,Manganese,ACO1
13889,9902,5805,isocitric acid,ACO1
14242,1530,5805,Iron,ACO1
17511,36375,5805,DL-Lactic Acid,ACO1
19550,27647,5805,DL-Glutamic acid,ACO1
22268,31928,5805,cystathionine,ACO1
22829,15910,5805,Copper,ACO1
23588,4020,5805,Citric acid,ACO1
3236,1531,1632,Zinc,ACO2
7705,9759,1632,Pyroglutamic acid,ACO2
7828,158,1632,PYRIDOXINE,ACO2
13175,80001,1632,Manganese,ACO2
13916,9902,1632,isocitric acid,ACO2
14518,1530,1632,Iron,ACO2
17766,36375,1632,DL-Lactic Acid,ACO2
19096,84987,1632,DL-Histidine,ACO2
19872,27647,1632,DL-Glutamic acid,ACO2
20480,40089,1632,D-Glucopyranose,ACO2
22316,31928,1632,cystathionine,ACO2
23107,15910,1632,Copper,ACO2
23236,4020,1632,Citric acid,ACO2
27683,79938,1632,Calcium(II) ion,ACO2
29804,71040,1632,4-O-Methylhexopyranosyl-(1->4)-[4-O-methylhexopyranosyl-(1->6)]hexopyranosyl-(1->2)-1,ACO2
30367,7890,1632,(+/-)-Eucalyptol,ACO2
3083,1531,3784,Zinc,ACOT13
7398,3967,3784,Quercetin,ACOT13
9104,35692,3784,Phenylacetic acid,ACOT13
14616,1530,3784,Iron,ACOT13
14646,61930,3784,Hexose,ACOT13
2165,1531,2573,Zinc,ACOX1
9786,3583,2573,Palmitic acid,ACOX1
12182,6911,2573,Myristic acid,ACOX1
13414,38621,2573,Lignoceric acid,ACOX1
21976,9988,2573,D-(&minus;)-Fructose,ACOX1
24707,4236,2573,Caprylic acid,ACOX1
26697,79938,2573,Calcium(II) ion,ACOX1
29126,37966,2573,Arachidic acid,ACOX1
30194,44788,2573,1-Hexanoic acid,ACOX1
4153,32487,765,ursolic acid,ACP1
8823,79942,765,potassium cation,ACP1
9824,3583,765,Palmitic acid,ACP1
10363,32326,765,Oleanolic acid,ACP1
12951,80001,765,Manganese,ACP1
29727,71040,765,4-O-Methylhexopyranosyl-(1->4)-[4-O-methylhexopyranosyl-(1->6)]hexopyranosyl-(1->2)-1,ACP1
1595,1531,2737,Zinc,ACPP
6195,3967,2737,Quercetin,ACPP
7647,9759,2737,Pyroglutamic acid,ACPP
8135,79942,2737,potassium cation,ACPP
9083,35692,2737,Phenylacetic acid,ACPP
9245,38619,2737,Pentadecanoic acid,ACPP
9670,3583,2737,Palmitic acid,ACPP
16394,31765,2737,DL-Valine,ACPP
17003,85497,2737,DL-Serine,ACPP
17474,36375,2737,DL-Lactic Acid,ACPP
18733,84987,2737,DL-Histidine,ACPP
19500,27647,2737,DL-Glutamic acid,ACPP
22786,15910,2737,Copper,ACPP
23546,4020,2737,Citric acid,ACPP
26177,79938,2737,Calcium(II) ion,ACPP
29663,71040,2737,4-O-Methylhexopyranosyl-(1->4)-[4-O-methylhexopyranosyl-(1->6)]hexopyranosyl-(1->2)-1,ACPP
30445,10739,2737,(.+/-.)-Tartaric acid,ACPP
19098,84987,5148,DL-Histidine,ACR
27689,79938,5148,Calcium(II) ion,ACR
9881,3583,3732,Palmitic acid,ACSBG1
10426,34249,3732,Octadecane,ACSBG1
13416,38621,3732,Lignoceric acid,ACSBG1
24719,4236,3732,Caprylic acid,ACSBG1
30334,71724,3732,(13E)-13-Docosenoic acid,ACSBG1
9806,3583,353,Palmitic acid,ACSL1
10423,34249,353,Octadecane,ACSL1
12189,6911,353,Myristic acid,ACSL1
13408,38621,353,Lignoceric acid,ACSL1
13637,9727,353,Lauric acid,ACSL1
22921,15910,353,Copper,ACSL1
24070,79939,353,Chromium,ACSL1
24736,4236,353,Caprylic acid,ACSL1
16325,153,687,Eicosapentanoic acid,ACSL3
3397,120,686,Vitamin C,ACSL4
9618,3583,686,Palmitic acid,ACSL4
13395,38621,686,Lignoceric acid,ACSL4
16324,153,686,Eicosapentanoic acid,ACSL4
24675,4236,686,Caprylic acid,ACSL4
16013,36172,348,ethanal,ACSS1
13867,9902,349,isocitric acid,ACSS2
15893,36172,349,ethanal,ACSS2
17387,36375,349,DL-Lactic Acid,ACSS2
19362,27647,349,DL-Glutamic acid,ACSS2
27792,79938,349,Calcium(II) ion,ACSS2
28154,3374,349,Butanoic acid,ACSS2
882,1531,2350,Zinc,ACTA1
5664,3967,2350,Quercetin,ACTA1
10824,2969,2350,O-Acetylcholine,ACTA1
15881,36172,2350,ethanal,ACTA1
25559,79938,2350,Calcium(II) ion,ACTA1
26095,79938,39070,Calcium(II) ion,ACTL10
25195,79938,3714,Calcium(II) ion,ACTR2
27119,79938,3715,Calcium(II) ion,ACTR3
23723,4020,742,Citric acid,ACVR1
11212,2969,4001,O-Acetylcholine,ACVR2A
22173,132,5310,Cystine,ACVR2B
4383,157,734,Tocopherol,ACVRL1
11372,86074,734,Nickel,ACVRL1
13736,122,319,L-(+)-Aspartic acid,ACY1
2820,1531,330,Zinc,ACY3
13749,122,330,L-(+)-Aspartic acid,ACY3
8514,79942,1844,potassium cation,ACYP2
684,1531,1144,Zinc,ADA
5480,3967,1144,Quercetin,ADA
10776,2969,1144,O-Acetylcholine,ADA
17332,36375,1144,DL-Lactic Acid,ADA
19286,27647,1144,DL-Glutamic acid,ADA
25351,79938,1144,Calcium(II) ion,ADA
29595,71040,1144,4-O-Methylhexopyranosyl-(1->4)-[4-O-methylhexopyranosyl-(1->6)]hexopyranosyl-(1->2)-1,ADA
2737,1531,3358,Zinc,ADAM10
7684,9759,3358,Pyroglutamic acid,ADAM10
27232,79938,3358,Calcium(II) ion,ADAM10
1824,1531,3515,Zinc,ADAM17
23586,4020,3515,Citric acid,ADAM17
26367,79938,3515,Calcium(II) ion,ADAM17
27930,3374,3515,Butanoic acid,ADAM17
2789,1531,5671,Zinc,ADAM19
2559,1531,5675,Zinc,ADAM23
7714,9759,1985,Pyroglutamic acid,ADAM28
10184,86025,1985,Oxygen,ADAM28
1083,1531,4506,Zinc,ADAM33
25760,79938,4506,Calcium(II) ion,ADAM33
20490,40089,4527,D-Glucopyranose,ADAM8
2250,1531,5686,Zinc,ADAMTS1
20491,40089,5686,D-Glucopyranose,ADAMTS1
24080,79939,5686,Chromium,ADAMTS1
1188,1531,5699,Zinc,ADAMTS12
17341,36375,5290,DL-Lactic Acid,ADAMTS13
19779,27647,5669,DL-Glutamic acid,ADAMTS2
27363,79938,5669,Calcium(II) ion,ADAMTS2
2232,1531,5689,Zinc,ADAMTS3
835,1531,4390,Zinc,ADAMTS4
25511,79938,4390,Calcium(II) ion,ADAMTS4
2249,1531,2917,Zinc,ADAMTS5
24064,79939,2917,Chromium,ADAMTS5
26785,79938,2917,Calcium(II) ion,ADAMTS5
2792,1531,5673,Zinc,ADAMTS8
16,1531,5692,Zinc,ADAMTS9
19977,27647,5586,DL-Glutamic acid,ADAR
2083,1531,352,Zinc,ADCY1
11045,2969,352,O-Acetylcholine,ADCY1
12877,80001,352,Manganese,ADCY1
26600,79938,352,Calcium(II) ion,ADCY1
29268,10009,352,Adenosine cyclic 3',ADCY1
1239,1531,2333,Zinc,ADCY2
8066,79942,2333,potassium cation,ADCY2
10888,2969,2333,O-Acetylcholine,ADCY2
12669,80001,2333,Manganese,ADCY2
19428,27647,2333,DL-Glutamic acid,ADCY2
