FE4: TOM formula 4 known to treat Epilepsy,,,,
Idx,compID,geneID,CompName,GeneSymbol
1134,10237,5008,Phenol,AADAC
3501,31797,5008,DL-Methionine,AADAC
5396,27647,5008,DL-Glutamic acid,AADAC
802,10237,3630,Phenol,AADACL2
3021,31797,3630,DL-Methionine,AADACL2
5314,27647,3630,DL-Glutamic acid,AADACL2
701,10237,39114,Phenol,AADACL4
2881,31797,39114,DL-Methionine,AADACL4
5284,27647,39114,DL-Glutamic acid,AADACL4
452,2102,177,Phenylethyl alcohol,AADAT
5226,27647,177,DL-Glutamic acid,AADAT
5215,27647,1694,DL-Glutamic acid,AANAT
3407,31797,690,DL-Methionine,AARS
4166,9038,690,DL-Isoleucine,AARS
4331,27647,434,DL-Glutamic acid,AASS
112,36879,178,Vanillin,ABAT
4810,27647,178,DL-Glutamic acid,ABAT
186,3032,730,Stearic acid,ABCA1
1349,3583,730,Palmitic acid,ABCA1
1976,36210,730,Honokiol,ABCA1
2132,36170,5490,Eugenol,ABCA6
1679,3583,727,Palmitic acid,ABCB1
2023,57137,727,Gallic acid,ABCB1
2420,36468,727,Estragole,ABCB1
4819,27647,727,DL-Glutamic acid,ABCB1
5655,3374,727,Butanoic acid,ABCB1
6405,31466,727,Allicin,ABCB1
1680,3583,3869,Palmitic acid,ABCB4
2418,36468,3869,Estragole,ABCB4
3738,31797,5487,DL-Methionine,ABCB6
140,35710,1448,Tangeritin,ABCC1
2133,36170,1448,Eugenol,ABCC1
6235,35029,1448,Baicalein,ABCC1
6207,38528,729,Baicalin,ABCC2
6327,35029,729,Baicalein,ABCC2
4335,27647,746,DL-Glutamic acid,ABCC8
1804,3583,5480,Palmitic acid,ABCD1
6147,3374,5480,Butanoic acid,ABCD1
5968,3374,5491,Butanoic acid,ABCD2
148,3032,728,Stearic acid,ABCG1
1210,3583,728,Palmitic acid,ABCG1
44,34914,3338,Wogonin,ABCG2
3747,31797,3338,DL-Methionine,ABCG2
5510,44229,3338,DL-CATECHIN,ABCG2
6373,35029,3338,Baicalein,ABCG2
2551,8660,5005,DL-Proline,ABHD5
399,38029,751,Pristane,ABL1
722,10237,751,Phenol,ABL1
2024,57137,751,Gallic acid,ABL1
2906,31797,751,DL-Methionine,ABL1
4044,9038,5099,DL-Isoleucine,ACAA1
4123,9038,5097,DL-Isoleucine,ACAA2
1211,3583,270,Palmitic acid,ACACA
1921,36210,270,Honokiol,ACACA
90,36879,267,Vanillin,ACACB
240,3032,267,Stearic acid,ACACB
1340,3583,267,Palmitic acid,ACACB
3963,9038,267,DL-Isoleucine,ACACB
4366,27647,267,DL-Glutamic acid,ACACB
1294,3583,2480,Palmitic acid,ACADM
273,3032,620,Stearic acid,ACADS
1765,3583,620,Palmitic acid,ACADS
6120,3374,620,Butanoic acid,ACADS
3991,9038,717,DL-Isoleucine,ACADSB
2025,57137,5420,Gallic acid,ACAN
4145,9038,1296,DL-Isoleucine,ACAT1
3378,31797,2628,DL-Methionine,ACCS
5194,27647,2628,DL-Glutamic acid,ACCS
2854,31797,39139,DL-Methionine,ACCSL
5069,27647,39139,DL-Glutamic acid,ACCSL
984,10237,778,Phenol,ACE
2672,8660,778,DL-Proline,ACE
3272,31797,778,DL-Methionine,ACE
