FH2: TOM formula 2 known to treat Hypertension,,,,
Idx,compID,geneID,CompName_afterADMET,GeneSymbol
1,2580,730,trans-resveratrol,ABCA1
2,2580,727,trans-resveratrol,ABCB1
3,2580,1448,trans-resveratrol,ABCC1
4,2580,5296,trans-resveratrol,ABCC3
5,2580,5332,trans-resveratrol,ABCC4
6,2580,5337,trans-resveratrol,ABCC5
7,2580,728,trans-resveratrol,ABCG1
8,2580,3338,trans-resveratrol,ABCG2
9,2580,778,trans-resveratrol,ACE
10,2580,4563,trans-resveratrol,ACLY
11,17352,2917,Rhein,ADAMTS5
12,2580,352,trans-resveratrol,ADCY1
13,2580,2333,trans-resveratrol,ADCY2
14,2580,4803,trans-resveratrol,ADCY3
15,2580,4807,trans-resveratrol,ADCY4
16,2580,2335,trans-resveratrol,ADCY5
17,2580,4806,trans-resveratrol,ADCY6
18,2580,4802,trans-resveratrol,ADCY7
19,2580,4804,trans-resveratrol,ADCY8
20,2580,4805,trans-resveratrol,ADCY9
21,2580,4471,trans-resveratrol,ADM
22,2580,3411,trans-resveratrol,AGT
23,2580,1048,trans-resveratrol,AHR
24,17352,1048,Rhein,AHR
25,2580,2563,trans-resveratrol,AIFM1
26,2580,559,trans-resveratrol,AKR1B1
27,2580,738,trans-resveratrol,AKT1
28,2580,605,trans-resveratrol,ALDH1A1
29,2580,608,trans-resveratrol,ALDH1A3
30,2580,598,trans-resveratrol,ALDH2
31,2580,4191,trans-resveratrol,ALOX12
32,17352,4778,Rhein,ALOX12B
33,17352,4188,Rhein,ALOX15B
34,17352,707,Rhein,ALOX5
35,17352,4777,Rhein,ALOXE3
36,7891,4715,epicatechin,ALPL
37,2580,241,trans-resveratrol,AMD1
38,17352,3847,Rhein,ANGPT2
39,2580,3350,trans-resveratrol,ANO1
40,2580,5245,trans-resveratrol,ANXA11
41,2580,77,trans-resveratrol,ANXA2
42,2580,2964,trans-resveratrol,ANXA3
43,2580,2284,trans-resveratrol,ANXA5
44,2580,740,trans-resveratrol,APAF1
45,2580,3356,trans-resveratrol,APEX1
46,2580,3941,trans-resveratrol,APOB
47,2580,124,trans-resveratrol,APOE
48,2580,2093,trans-resveratrol,APP
49,2580,1042,trans-resveratrol,AR
50,2580,733,trans-resveratrol,ARAF
51,2580,318,trans-resveratrol,ASNS
52,2580,287,trans-resveratrol,ASS1
53,2580,4298,trans-resveratrol,ATF3
54,2580,235,trans-resveratrol,ATIC
55,2580,848,trans-resveratrol,ATM
56,2580,3072,trans-resveratrol,ATP5A1
57,2580,3073,trans-resveratrol,ATP5B
58,2580,3074,trans-resveratrol,ATP5C1
59,2580,2266,trans-resveratrol,AURKA
60,2580,3458,trans-resveratrol,BAD
61,2580,4943,trans-resveratrol,BAX
62,17352,4943,Rhein,BAX
63,2580,275,trans-resveratrol,BCHE
64,2580,1404,trans-resveratrol,BCL2
65,2580,3530,trans-resveratrol,BCL2L1
66,2580,3373,trans-resveratrol,BDNF
67,2580,3950,trans-resveratrol,BET1
68,2580,725,trans-resveratrol,BGLAP
69,2580,4674,trans-resveratrol,BIRC3
70,2580,3391,trans-resveratrol,BIRC5
71,2580,5225,trans-resveratrol,BRCA1
72,2580,4602,trans-resveratrol,BRCA2
73,2580,4018,trans-resveratrol,BSG
74,2580,63,trans-resveratrol,C5
75,2580,1156,trans-resveratrol,CA12
76,2580,1352,trans-resveratrol,CA13
77,53911,1352,Cymene,CA13
78,2580,1308,trans-resveratrol,CA14
79,2580,910,trans-resveratrol,CA2
80,53911,910,Cymene,CA2
81,2580,1309,trans-resveratrol,CA3
82,2580,911,trans-resveratrol,CA4
83,2580,1346,trans-resveratrol,CA5A
84,2580,1347,trans-resveratrol,CA5B
85,2580,1348,trans-resveratrol,CA6
86,2580,999,trans-resveratrol,CA7
87,2580,1155,trans-resveratrol,CA9
88,2580,53,trans-resveratrol,CALR
89,53911,3126,Cymene,CAPN1
90,2580,5788,trans-resveratrol,CASP2
91,2580,1382,trans-resveratrol,CASP3
92,17352,1382,Rhein,CASP3
93,2580,5789,trans-resveratrol,CASP4
94,2580,4671,trans-resveratrol,CASP6
95,2580,4256,trans-resveratrol,CASP8
96,17352,4256,Rhein,CASP8
97,2580,4565,trans-resveratrol,CASP9
98,2580,1471,trans-resveratrol,CAT
99,2580,4302,trans-resveratrol,CAV1
100,2580,3446,trans-resveratrol,CCL11
101,2580,1408,trans-resveratrol,CCL2
102,2580,4961,trans-resveratrol,CCNA1
103,2580,2014,trans-resveratrol,CCNA2
104,2580,4161,trans-resveratrol,CCNB1
105,2580,4967,trans-resveratrol,CCNB2
106,2580,1461,trans-resveratrol,CCND1
107,2580,4963,trans-resveratrol,CCND2
108,2580,4959,trans-resveratrol,CCND3
109,2580,4441,trans-resveratrol,CCNE1
110,2580,4969,trans-resveratrol,CCNE2
111,2580,3389,trans-resveratrol,CCR2
112,2580,4481,trans-resveratrol,CD209
113,2580,3981,trans-resveratrol,CD274
114,2580,3968,trans-resveratrol,CD38
115,2580,3798,trans-resveratrol,CD44
116,17352,4254,Rhein,CD47
117,2580,4507,trans-resveratrol,CD69
118,2580,149,trans-resveratrol,CD86
119,2580,1689,trans-resveratrol,CDC25B
120,2580,4181,trans-resveratrol,CDC25C
121,2580,2352,trans-resveratrol,CDC42
122,2580,4567,trans-resveratrol,CDH1
123,2580,3898,trans-resveratrol,CDH2
124,2580,1680,trans-resveratrol,CDK2
125,2580,2400,trans-resveratrol,CDK4
126,2580,1986,trans-resveratrol,CDK5
127,2580,2791,trans-resveratrol,CDK6
128,2580,2792,trans-resveratrol,CDK8
129,2580,4376,trans-resveratrol,CDKN1A
130,2580,5462,trans-resveratrol,CDKN1B
131,2580,4275,trans-resveratrol,CDKN1C
132,2580,167,trans-resveratrol,CEACAM1
133,2580,5023,trans-resveratrol,CEL
134,2580,3473,trans-resveratrol,CENPE
135,2580,4504,trans-resveratrol,CFLAR
136,2580,3398,trans-resveratrol,CHEK1
137,2580,3397,trans-resveratrol,CHEK2
138,2580,792,trans-resveratrol,CHRNA4
