FS1: TOM formula 1 known to treat Schizophrenia,,,,
Idx,compid,geneid,CompName_afterADMET,GeneSymbol
7190,3967,4915,Quercetin,A1BG
14641,1691,156,Isopropyl methoxy pyrazine,A2M
29687,79938,156,Calcium(II) ion,A2M
4920,3373,1922,spermidine,aacC1
3065,1531,5008,Zinc,AADAC
7972,9759,5008,Pyroglutamic acid,AADAC
10165,10237,5008,Phenol,AADAC
19189,31797,5008,DL-Methionine,AADAC
20583,84987,5008,DL-Histidine,AADAC
21825,27647,5008,DL-Glutamic acid,AADAC
31032,79938,5008,Calcium(II) ion,AADAC
1099,1531,3630,Zinc,AADACL2
7910,9759,3630,Pyroglutamic acid,AADACL2
9833,10237,3630,Phenol,AADACL2
18709,31797,3630,DL-Methionine,AADACL2
20184,84987,3630,DL-Histidine,AADACL2
21743,27647,3630,DL-Glutamic acid,AADACL2
29283,79938,3630,Calcium(II) ion,AADACL2
573,1531,39114,Zinc,AADACL4
7894,9759,39114,Pyroglutamic acid,AADACL4
9732,10237,39114,Phenol,AADACL4
18569,31797,39114,DL-Methionine,AADACL4
20062,84987,39114,DL-Histidine,AADACL4
21713,27647,39114,DL-Glutamic acid,AADACL4
28762,79938,39114,Calcium(II) ion,AADACL4
7577,3967,177,Quercetin,AADAT
9462,31784,177,Pipecolic acid,AADAT
9483,2102,177,Phenylethyl alcohol,AADAT
21655,27647,177,DL-Glutamic acid,AADAT
33073,38491,177,alpha-Ketoglutaric acid,AADAT
21644,27647,1694,DL-Glutamic acid,AANAT
2710,1531,690,Zinc,AARS
3452,120,690,Vitamin C,AARS
17986,85497,690,DL-Serine,AARS
19095,31797,690,DL-Methionine,AARS
19854,9038,690,DL-Isoleucine,AARS
20523,84987,690,DL-Histidine,AARS
22088,31783,690,DL-asparagine,AARS
23980,36042,690,Coumesterol,AARS
2983,1531,689,Zinc,AARS2
18007,85497,689,DL-Serine,AARS2
324,1531,434,Zinc,AASS
4787,121,434,Spermine,AASS
4961,3373,434,spermidine,AASS
5384,3967,434,Quercetin,AASS
8136,1840,434,putrescine,AASS
9441,31784,434,Pipecolic acid,AASS
11331,86025,434,Oxygen,AASS
13253,80001,434,Manganese,AASS
20760,27647,434,DL-Glutamic acid,AASS
25874,15910,434,Copper,AASS
28556,79938,434,Calcium(II) ion,AASS
32812,38491,434,alpha-Ketoglutaric acid,AASS
4062,36879,178,Vanillin,ABAT
7762,114,178,Pyruvic acid,ABAT
8212,1840,178,putrescine,ABAT
14616,8153,178,L-(+)-Alanine,ABAT
20461,84987,178,DL-Histidine,ABAT
21239,27647,178,DL-Glutamic acid,ABAT
23981,36042,178,Coumesterol,ABAT
30467,79938,178,Calcium(II) ion,ABAT
33016,38491,178,alpha-Ketoglutaric acid,ABAT
33788,25864,178,2-Pyrrolidone,ABAT
616,1531,730,Zinc,ABCA1
3453,120,730,Vitamin C,ABCA1
4660,3032,730,Stearic acid,ABCA1
5577,3967,730,Quercetin,ABCA1
10699,3583,730,Palmitic acid,ABCA1
23708,9988,730,D-(&minus;)-Fructose,ABCA1
27412,79939,730,Chromium,ABCA1
27816,117,730,choline,ABCA1
32484,9026,730,Arachidonic acid,ABCA1
33103,10009,730,Adenosine cyclic 3',ABCA1
7004,3967,5488,Quercetin,ABCA12
26025,15910,5503,Copper,ABCA2
16005,36170,5490,Eugenol,ABCA6
7191,3967,5484,Quercetin,ABCA7
13509,80001,5497,Manganese,ABCA9
3454,120,727,Vitamin C,ABCB1
4300,157,727,Tocopherol,ABCB1
